name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
JF COZY  GALERIAS APARTMENT  DOWNTOWN,28389484,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1478,-8.6141,Entire home/apt,50,2,73,2022-10-30,1.5,2,350,18,84744/AL
Private Yacht - Oporto Historic Center- Best Price,221582952,Gonçalo,VILA NOVA DE GAIA,Canidelo,41.14272,-8.64897,Entire home/apt,61,1,130,2022-11-01,2.91,3,361,50,Exempt
Appartement Douro Vila nova de Gaia PORTUGAL,221603304,Henrique,VILA NOVA DE GAIA,Avintes,41.11475,-8.5523,Entire home/apt,69,4,9,2022-11-05,0.19,1,23,6,Exempt
OPORTO GUEST Alegria Flat Downtown,96693323,Andreia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15311,-8.60474,Entire home/apt,65,2,18,2020-03-22,0.36,2,293,0,81512/AL
Oporto Renting Apartment,218477404,Oporto,PORTO,Bonfim,41.14708,-8.60007,Entire home/apt,42,2,56,2022-10-23,1.35,1,0,23,Exempt
MIL - Dreams,923371,Carlos,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14941,-8.60361,Entire home/apt,87,3,74,2022-11-14,1.53,2,253,22,72961/AL
Peach Hostel & Suites - Bed in the Peach Dorm,217255370,Joao,PORTO,Campanhã,41.15089,-8.58628,Hotel room,29,1,77,2022-10-17,1.51,4,364,11,83616/AL
Porto Cozy Apartment,219723211,Bruno,PORTO,Bonfim,41.14641,-8.59356,Entire home/apt,28,2,164,2022-10-23,3.28,3,0,41,86646/AL
TOC TOC YELLOW! In Porto´s heart!,2712090,Hugo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14505,-8.61176,Entire home/apt,77,2,120,2022-12-08,2.49,2,217,53,30099/AL
"Holiday Flat for 2! - ""Clean & Safe"" stamp",38727307,Isabel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16303,-8.62182,Entire home/apt,35,1,85,2022-11-25,2.06,4,230,42,84543/AL
Quarto de Casal I  em moradia de tres quartos,176967645,Helder,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13546,-8.61121,Private room,25,28,1,2019-01-01,0.02,8,0,0,Exempt
"Weekend Flat for 2! - ""Clean & Safe"" stamp",38727307,Isabel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1623,-8.62111,Entire home/apt,37,1,69,2022-10-01,1.39,4,169,23,84537/AL
Quarto de Casal II em moradia de tres quartos,176967645,Helder,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13525,-8.60971,Private room,25,28,4,2022-04-30,0.26,8,0,2,61154/AL
Quarto Casal III c Sala em moradia de tres quartos,176967645,Helder,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13554,-8.61156,Private room,27,28,0,,,8,0,0,Exempt
Sunday - Alda's Vintage Apartment 1 (Free Parking),221850190,Alda,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15355,-8.60398,Entire home/apt,42,2,76,2022-11-17,1.72,2,314,24,84327/AL
House of 25,184821672,Ana Paula,ESPINHO,Espinho,41.00629,-8.63684,Entire home/apt,90,2,34,2022-08-19,0.68,1,299,9,88734/AL
Porto Cozy Apartment,219723211,Bruno,PORTO,Bonfim,41.14641,-8.59356,Entire home/apt,59,2,164,2022-10-29,3.27,3,0,34,86640/AL
Porto Cozy Apartments,219723211,Bruno,PORTO,Bonfim,41.14641,-8.59356,Entire home/apt,28,2,149,2022-10-26,3.0,3,0,40,86641/AL
New! Quiet flat city center ( metro bolhão),1121698,Marcelo,PORTO,Bonfim,41.15329,-8.60286,Entire home/apt,41,3,6,2022-05-21,0.12,3,251,2,24338/AL
Sweet Home Trindade - Clean & Safe,186951204,Ana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15312,-8.60899,Entire home/apt,65,2,15,2019-10-31,0.29,1,3,0,82708/AL
FLH Porto Elegant Flat with Terrace,3953109,Feels Like Home,PORTO,Bonfim,41.1609,-8.60378,Entire home/apt,47,1,33,2022-10-29,0.75,85,331,8,52849/AL
Quiet flat with private garden,1121698,Marcelo,PORTO,Paranhos,41.1678,-8.61003,Entire home/apt,49,3,10,2022-07-10,0.22,3,227,4,11230/AL
Casinhas na Baixa - We take care of the details.,99992034,José,PORTO,Bonfim,41.15491,-8.59844,Private room,26,1,372,2022-12-02,7.42,2,78,119,80809/AL
Art Style Apartment & Rooftop Garden,175327086,Joao,PORTO,Lordelo do Ouro e Massarelos,41.15487,-8.63142,Entire home/apt,95,3,89,2022-12-11,1.77,1,166,47,83378/AL
Casa Museu - Quinta do Pomar Maior,21223635,Vânia,AROUCA,Santa Eulália,40.92342,-8.27505,Entire home/apt,500,5,1,2022-08-20,0.25,7,360,1,6332
Alojamento Gabriel,217449484,Eduardo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16146,-8.60832,Private room,70,1,1,2019-05-03,0.02,1,315,0,71337/AL
FLH Oporto Captain House - Calem Apartment,3953109,Feels Like Home,PORTO,Lordelo do Ouro e Massarelos,41.14651,-8.63254,Entire home/apt,119,1,79,2022-11-15,1.58,85,284,23,101070/AL
